Learning Rate,Gamma,Avg Reward (Last 100),Max Reward,Min Reward
0.01,0.99,-57.04617147117811,-51.29870129870207,-64.51612903225892
0.01,0.95,-57.41611619362125,-42.857142857143536,-66.38655462184931
0.01,0.9,-54.39509466247692,-46.043165467626594,-63.45514950166203
0.001,0.99,-55.5675416072365,-46.04316546762659,-62.61682242990744
0.001,0.95,-56.99219616115488,-50.819672131148295,-61.78343949044676
0.001,0.9,-56.429247724484696,-46.93877551020476,-66.04938271605016
0.0001,0.99,-57.271985703973726,-46.99646643109612,-64.05228758170023
0.0001,0.95,-56.84285255494723,-48.616600790514525,-66.25766871165719
0.0001,0.9,-55.52826148314172,-46.42857142857213,-63.21070234113802
